ID,Mission_Total,Weather_Total,Human_Factors_Total,Overall_Total,Callsign,TO_Time,TO_Date
16,0,5,2,7,CRAZE76,945,11/2/21
17,1,5,2,8,SCARE76,803,11/2/21
18,2,4,1,7,EVIL01,800,11/2/21
19,2,8,1,11,STAB11,1012,11/2/21
20,1,5,5,11,SCARE75,809,11/2/21
21,1,4,3,8,CRAZE16,815,11/2/21
22,1,4,6,11,CRAZE54,818,11/2/21
23,0,3,2,5,BADGR05,824,11/2/21
24,2,8,5,15,STAB11,833,11/2/21
25,0,4,3,7,PHNTM42,821,11/2/21
26,2,4,5,11,DRAGN,830,11/2/21
27,2,4,2,8,SMALL73,845,11/2/21
28,0,4,2,6,BADGR02,827,11/2/21
29,2,8,5,15,ETCH41,839,11/2/21
30,3,4,1,8,SMALL66,812,11/2/21
31,1,4,3,8,RECON02,906,11/2/21
32,2,4,0,6,BALL89,903,11/2/21
33,4,1,0,5,BALL58,900,11/2/21
34,2,5,1,8,RECON08,909,11/2/21
35,0,2,1,3,DRAGN59,848,11/2/21
36,2,4,1,7,BALL26,857,11/2/21
37,3,1,0,4,SMALL31,1003,11/2/21
38,4,10,6,20,TAUNT21,924,11/2/21
39,2,10,5,17,GOLEM31/32,918,11/2/21
40,2,8,4,14,TORA21/22,912,11/2/21
41,2,10,16,28,LOOKER1,951,11/2/21
42,0,4,4,8,CRAZE22,957,11/2/21
43,3,8,4,15,GIZMO21/22,930,11/2/21
44,1,5,2,8,DRAGN77,948,11/2/21
45,2,8,3,13,SHINR81/82,942,11/2/21
46,4,4,3,11,DRAGN42,954,11/2/21
47,0,4,5,9,DRAGN02,1009,11/2/21
48,0,4,1,5,DRAGN51,1006,11/2/21
49,0,4,1,5,DRAGN51,1006,11/2/21
50,2,8,4,14,LOADED1,936,11/2/21
51,2,3,0,5,DRAGN41,954,11/2/21
52,2,8,2,12,AXLE11,1018,11/2/21
53,0,5,3,8,BALL04,1033,11/2/21
54,3,10,2,15,WIRE31,1024,11/2/21
55,0,2,1,3,DAWG05,1100,11/2/21
56,0,6,2,8,FURY01,1030,11/2/21
58,2,5,3,10,Cobra 06,1112,11/2/21
59,3,5,5,13,Ghost,1103,11/2/21
60,2,6,2,10,PHNTM 50,1106,11/2/21
61,2,4,1,7,Cobra 01,1121,11/2/21
62,2,6,4,12,Cobra 08,1118,11/2/21
63,1,5,0,6,RECON 01,1109,11/2/21
64,2,5,1,8,CRAZE 34,1115,11/2/21
65,1,5,2,8,SPOT 91,1124,11/2/21
66,1,5,2,8,DRAGN 25,1133,11/2/21
67,0,1,3,4,DRAGN 81,1130,11/2/21
68,1,5,0,6,STAB 21,1136,11/2/21
69,2,6,1,9,AMMO 01,1206,11/2/21
70,1,5,1,7,DRAGN 33,1209,11/2/21
71,2,5,1,8,AMMO 02,1251,11/2/21
72,0,5,1,6,AMMO 05,1245,11/2/21
73,0,6,3,9,AMMO 08,1248,11/2/21
74,1,6,0,7,WIRE 31,1257,11/2/21
75,1,6,2,9,WIRE 31,1300,11/2/21
76,0,6,3,9,CRAZE 16,1306,11/2/21
77,0,7,4,11,RECON 74,1315,11/2/21
78,1,6,0,7,BADGR 01,1318,11/2/21
79,2,9,4,15,DRAGN 66,1324,11/2/21
80,4,5,2,11,DRAGN 65,1327,11/2/21
81,0,7,3,10,HOOK46,1412,11/2/21
82,1,5,2,8,DRAGN86,1445,11/2/21
83,1,7,0,8,SHINR81,1436,11/2/21
84,1,7,0,8,SHINR82,1439,11/2/21
85,2,5,2,9,DAWG09,1554,11/2/21
86,1,4,4,9,DAWG05,1600,11/2/21
87,0,5,3,8,DRAGN54,1609,11/2/21
88,1,5,4,10,DRAGN09,1415,11/2/21
89,1,5,0,6,DRAGN22,1615,11/2/21
90,2,5,4,11,COACH21,1621,11/2/21
91,2,5,4,11,COACH22,1624,11/2/21
92,1,4,2,7,RECON08,1612,11/2/21
93,0,5,2,7,AMMO02,815,11/3/21
94,1,7,2,10,GOLEM31,909,11/3/21
95,1,7,5,13,GOLEM32,912,11/3/21
96,1,5,4,10,COACH21,851,11/3/21
97,1,5,4,10,COACH22,854,11/3/21
98,0,8,2,10,LOADED1,927,11/3/21
99,3,4,1,8,LOADED2,930,11/3/21
100,0,6,3,9,DRAGN66,945,11/3/21
101,0,6,3,9,RECON08,939,11/3/21
102,0,8,4,12,CRAZE11,1036,11/3/21
103,1,5,1,7,STAB11,1015,11/3/21
104,1,5,1,7,STAB12,1018,11/3/21
105,1,8,0,9,TAUNT81,915,11/3/21
106,1,8,2,11,TAUNT82,918,11/3/21
107,0,5,0,5,RECON73,1136,11/3/21
108,0,6,1,7,SPECK53,1239,11/3/21
109,0,4,0,4,AMMO01,1312,11/3/21
110,0,4,0,4,PHNTM99,1318,11/3/21
111,2,3,0,5,DRAGN17,1336,11/3/21
112,2,5,1,8,DRAGN48,1321,11/3/21
113,0,3,2,5,CRAZE22,1324,11/3/21
114,0,5,0,5,BALL19,1315,11/3/21
115,0,2,0,2,RECON07,1333,11/3/21
116,2,5,4,11,DRAGN16,1330,11/3/21
117,0,1,2,3,CRAZE79,1327,11/3/21
118,1,2,1,4,CREEP31,1400,11/3/21
119,1,3,0,4,CREEP32,1403,11/3/21
120,0,3,6,9,BALL41,1442,11/3/21
121,1,3,2,6,VEGA21,1406,11/3/21
122,1,3,2,6,VEGA22,1409,11/3/21
123,1,5,2,8,AXLE11,1412,11/3/21
124,1,5,1,7,AXLE12,1415,11/3/21
125,1,2,2,5,WIRE31,1418,11/3/21
126,1,2,4,7,WIRE32,1421,11/3/21
127,0,6,6,12,DRAGN52,1433,11/3/21
128,1,2,3,6,SHINR81,1436,11/3/21
129,1,2,4,7,SHINR82,1439,11/3/21
130,1,1,3,5,SPOT91,1548,11/3/21
131,1,1,0,2,SPOT92,1551,11/3/21
132,1,4,3,8,STAB11,1554,11/3/21
133,1,4,8,13,STAB12,1557,11/3/21
134,1,3,2,6,HANG51,1539,11/3/21
135,1,3,3,7,HANG52,1542,11/3/21
